bigram,word1,word2,freq,p,entropy,cum_entropy,r_number,max_cum_entropy,entropy_diff,optimal_entropy,diff_from_threshold,entropy_cross_over_point
shane smith,shane,smith,24,0.5333333333333333,0.4836749843245432,0.4836749843245432,1,0,-0.4836749843245432,NA,NA,NA
north korea,north,korea,21,0.4666666666666667,0.5131166476570933,0.9967916319816366,2,1,0.003208368018363439,NA,NA,NA
