word1,word2,freq
music,music,108
google,play,94
battery,life,72
huawei,watch,70
ultra,wide,64
app,gallery,57
heart,rate,54
huawei,band,48
wireless,charging,35
music,applause,34
internal,storage,33
applause,music,32
mobile,phone,30
pesos,music,30
google,services,29
harmony,operating,29
tramp,tramp,27
refresh,rate,26
main,camera,25
